points,year,price,variety_num,country_num,taster_name_Alexander Peartree,taster_name_Anna Lee C. Iijima,taster_name_Anne Krebiehl MW,taster_name_Carrie Dykes,taster_name_Christina Pickard,taster_name_Fiona Adams,taster_name_Jim Gordon,taster_name_Joe Czerwinski,taster_name_Kerin O’Keefe,taster_name_Lauren Buzzeo,taster_name_Matt Kettmann,taster_name_Michael Schachner,taster_name_Paul Gregutt,taster_name_Roger Voss,taster_name_Sean P. Sullivan,taster_name_Susan Kostrzewa,taster_name_Virginie Boone
87,2013,13.0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2012,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,2011,15.0,207,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2013,16.0,142,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,2012,27.0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,2011,19.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2010,30.0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2011,13.0,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2010,28.0,21,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2012,23.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2007,19.0,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,2011,22.0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,2009,35.0,40,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,2011,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2013,13.0,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,2011,17.0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,2010,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,2012,9.0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,2011,14.0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,2011,15.0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
