variety_num,year,price,ratings
10,2007,50.0,3
1,2010,50.0,2
1,2014,50.0,4
1,2012,50.0,4
1,2014,50.0,4
10,2013,50.0,4
3,2012,50.0,2
19,2013,50.0,2
24,2009,50.0,4
21,2009,50.0,3
2,2013,50.0,3
1,2012,50.0,4
1,2013,50.0,4
3,2005,50.0,3
1,2012,50.0,3
4,2011,50.0,3
6,2014,50.0,3
1,2012,50.0,2
5,2012,50.0,3
16,2013,50.0,3
17,2012,50.0,3
1,2015,50.0,4
6,2010,50.0,4
6,2010,50.0,4
3,2011,50.0,3
13,2012,50.0,4
7,2010,50.0,4
4,2013,50.0,3
1,2006,50.0,4
3,2010,50.0,3
4,2009,50.0,3
4,2009,50.0,4
1,2012,50.0,3
4,2007,50.0,3
168,2010,50.0,3
1,2011,50.0,1
1,2014,50.0,3
15,2012,50.0,4
1,2015,50.0,4
11,2010,50.0,4
1,2013,50.0,4
3,2012,50.0,4
13,2013,50.0,4
11,2009,50.0,4
5,2010,50.0,3
11,2014,50.0,3
1,2015,50.0,3
2,2011,50.0,4
30,2013,50.0,4
4,2008,50.0,3
14,2015,50.0,3
1,2015,50.0,3
1,2013,50.0,4
1,2008,50.0,4
11,2010,50.0,4
12,2012,50.0,4
6,2014,50.0,4
5,2008,50.0,3
10,2012,50.0,3
1,2008,50.0,4
9,2014,50.0,3
87,2009,50.0,1
2,2015,50.0,4
10,2011,50.0,4
20,2012,50.0,4
26,2014,50.0,3
1,2010,50.0,2
1,2010,50.0,2
2,2014,50.0,3
2,2013,50.0,2
6,2013,50.0,4
22,2001,50.0,4
4,2012,50.0,4
6,2011,50.0,4
2,2015,50.0,4
6,2012,50.0,4
13,2014,50.0,3
1,2015,50.0,2
1,2012,50.0,4
1,2012,50.0,4
1,2013,50.0,3
11,2013,50.0,2
6,2008,50.0,3
2,2013,50.0,4
1,2012,50.0,4
2,2014,50.0,3
1,2014,50.0,3
1,2010,50.0,2
43,2013,50.0,2
18,2015,50.0,4
80,2015,50.0,4
1,2011,50.0,4
1,2011,50.0,4
5,2008,50.0,2
5,2014,50.0,3
13,2013,50.0,4
4,2013,50.0,4
1,2014,50.0,4
1,2014,50.0,3
3,2014,50.0,3
1,1998,50.0,3
5,2009,50.0,3
1,2011,50.0,4
1,2014,50.0,3
1,2013,50.0,3
31,2011,50.0,3
13,2015,50.0,4
6,2009,50.0,3
3,2009,50.0,3
11,2007,50.0,2
1,2015,50.0,4
17,2012,50.0,3
1,2012,50.0,3
4,2014,50.0,4
1,2013,50.0,4
1,2013,50.0,4
1,2014,50.0,4
44,2014,50.0,4
21,2010,50.0,3
3,2009,50.0,2
21,2010,50.0,4
11,2010,50.0,3
2,2010,50.0,3
1,2013,50.0,3
11,2012,50.0,3
1,2012,50.0,3
8,2010,50.0,3
118,2012,50.0,4
13,2013,50.0,4
1,2014,50.0,3
2,2013,50.0,4
1,2013,50.0,3
3,2012,50.0,3
1,2014,50.0,3
1,2014,50.0,3
5,2011,50.0,4
6,2013,50.0,3
16,2011,50.0,3
1,2015,50.0,4
227,2002,50.0,3
27,1996,50.0,3
1,2008,50.0,2
45,2008,50.0,2
4,2013,50.0,2
26,2010,50.0,3
3,2005,50.0,2
2,2014,50.0,4
11,2011,50.0,3
15,2009,50.0,3
2,2014,50.0,3
1,2010,50.0,2
4,2012,50.0,4
8,2012,50.0,4
3,2007,50.0,4
28,2014,50.0,3
22,2010,50.0,3
11,2009,50.0,2
4,2012,50.0,3
19,2014,50.0,4
16,2010,50.0,3
1,2012,50.0,4
1,2009,50.0,3
1,2014,50.0,4
5,2012,50.0,4
11,2013,50.0,3
4,2013,50.0,4
4,2012,50.0,3
1,2008,50.0,4
13,2011,50.0,3
2,2014,50.0,4
1,2015,50.0,4
6,2015,50.0,3
2,2015,50.0,3
1,2014,50.0,3
43,2013,50.0,3
13,2013,50.0,4
6,2009,50.0,4
8,2009,50.0,4
2,2011,50.0,3
5,2013,50.0,4
13,2013,50.0,4
6,2013,50.0,4
1,2008,50.0,3
2,2013,50.0,3
1,2014,50.0,4
2,2013,50.0,3
76,2013,50.0,2
7,2013,50.0,2
11,2013,50.0,4
11,2013,50.0,4
1,2011,50.0,3
6,2014,50.0,3
5,2008,50.0,4
58,2010,50.0,4
1,2012,50.0,3
5,2011,50.0,3
5,2010,50.0,3
13,2011,50.0,3
1,2012,50.0,3
2,2013,50.0,4
3,2012,50.0,2
5,2013,50.0,4
17,2012,50.0,3
1,2009,50.0,3
12,2014,50.0,3
2,2013,50.0,3
11,2013,50.0,2
6,2013,50.0,3
11,2012,50.0,3
1,2007,50.0,3
3,2011,50.0,4
3,2012,50.0,2
5,2011,50.0,3
2,2014,50.0,4
29,2014,50.0,4
5,2008,50.0,2
5,2011,50.0,3
3,2013,50.0,2
10,2005,50.0,4
3,2008,50.0,3
11,2009,50.0,4
23,2011,50.0,3
1,2009,50.0,4
2,2014,50.0,4
1,2013,50.0,4
3,2012,50.0,2
1,2014,50.0,3
14,2014,50.0,3
4,2012,50.0,3
1,2013,50.0,4
4,2012,50.0,3
1,2015,50.0,4
1,2010,50.0,2
26,2014,50.0,4
3,2014,50.0,4
1,2013,50.0,4
13,2014,50.0,4
1,2009,50.0,4
5,2014,50.0,3
1,2015,50.0,4
1,2012,50.0,4
11,2011,50.0,4
281,2013,50.0,2
59,2014,50.0,3
270,2011,50.0,3
11,2012,50.0,3
8,2013,50.0,3
1,2012,50.0,4
2,2013,50.0,4
1,2012,50.0,4
3,2007,50.0,4
1,2012,50.0,2
6,2012,50.0,4
4,2011,50.0,4
43,2013,50.0,4
1,2015,50.0,4
6,2006,50.0,3
3,2008,50.0,4
187,2012,50.0,3
13,2013,50.0,4
3,2012,50.0,3
20,2015,50.0,4
2,2014,50.0,4
6,2014,50.0,4
20,2015,50.0,4
13,2013,50.0,4
6,2013,50.0,4
1,2014,50.0,4
4,2006,50.0,4
3,2013,50.0,4
19,2014,50.0,3
1,2009,50.0,3
1,2013,50.0,3
78,2013,50.0,3
12,2015,50.0,4
2,2012,50.0,2
1,2012,50.0,3
3,2005,50.0,3
17,2013,50.0,2
8,2012,50.0,3
3,2012,50.0,4
3,2012,50.0,3
5,2013,50.0,4
1,2015,50.0,4
1,2015,50.0,4
2,2009,50.0,4
1,2014,50.0,3
1,2014,50.0,3
8,2008,50.0,3
298,2014,50.0,5
3,2010,50.0,4
24,2006,50.0,3
10,2013,50.0,3
6,2013,50.0,4
3,2014,50.0,2
51,2012,50.0,3
21,2010,50.0,3
1,2014,50.0,3
5,2008,50.0,3
10,2007,50.0,3
6,2012,50.0,3
4,2014,50.0,3
2,2015,50.0,3
1,2012,50.0,3
1,2012,50.0,3
3,2011,50.0,3
5,2013,50.0,3
16,2011,50.0,3
3,2003,50.0,3
13,2013,50.0,5
1,2014,50.0,3
2,2008,50.0,3
1,2014,50.0,2
7,2013,50.0,2
3,2011,50.0,4
85,2009,50.0,4
1,2012,50.0,4
125,2007,50.0,3
4,2013,50.0,3
5,2005,50.0,3
4,2012,50.0,2
3,2010,50.0,4
8,2011,50.0,4
15,2011,50.0,3
4,2009,50.0,3
11,2010,50.0,3
11,2010,50.0,3
1,2006,50.0,2
3,2014,50.0,3
1,2014,50.0,4
1,2015,50.0,3
1,2013,50.0,4
11,2012,50.0,3
4,2011,50.0,2
4,2012,50.0,3
8,2009,50.0,4
1,2013,50.0,4
2,2011,50.0,3
1,2011,50.0,3
3,2011,50.0,3
2,2015,50.0,3
11,2012,50.0,3
3,2011,50.0,2
4,2012,50.0,4
21,2008,50.0,2
2,1998,50.0,3
5,2012,50.0,3
11,2013,50.0,3
115,2014,50.0,3
1,2013,50.0,3
5,2010,50.0,4
5,2011,50.0,3
19,2012,50.0,4
1,2014,50.0,4
3,2010,50.0,4
16,2010,50.0,3
5,2006,50.0,3
3,2006,50.0,4
12,2015,50.0,4
1,2010,50.0,4
11,2014,50.0,4
11,2013,50.0,4
15,2012,50.0,3
4,2012,50.0,3
1,2009,50.0,2
1,2009,50.0,4
3,2005,50.0,3
3,2005,50.0,3
8,2009,50.0,2
4,2012,50.0,3
59,2012,50.0,3
1,2015,50.0,4
3,2004,50.0,3
1,2015,50.0,4
1,2013,50.0,3
8,2006,50.0,3
21,2007,50.0,3
21,2009,50.0,4
4,2014,50.0,4
1,2013,50.0,3
1,2007,50.0,3
1,2006,50.0,3
11,2011,50.0,4
19,2013,50.0,4
13,2013,50.0,4
3,2012,50.0,4
6,2011,50.0,4
7,2012,50.0,4
2,2012,50.0,4
1,2012,50.0,4
4,2004,50.0,3
1,2014,50.0,4
1,2013,50.0,4
45,2008,50.0,4
1,2011,50.0,3
5,2012,50.0,3
3,2005,50.0,3
1,2012,50.0,3
6,2014,50.0,3
1,2012,50.0,3
14,2005,50.0,3
1,2014,50.0,3
3,2013,50.0,3
4,2008,50.0,4
15,2009,50.0,4
