country,description,points,price,province,region_1,taster_name,year,variety_100,designation_20,winery_3
France,"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",92,39.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Pfersigberg Grand Cru,Kuentz-Bas
France,"This is a rich wine, labeled sweet but with a firm core of dryness that gives considerable texture. It reveals pure, ripe fruits coming from the biodynamically grown grapes, adding to a depth of flavor. It's ready for some good aging, so wait to drink until 2017.",93,59.0,Alsace,Alsace,Roger Voss,2012,23.0,Pfersigberg Grand Cru,Kuentz-Bas
France,"Softly hinted aromatics of dried peach suggest warmth and ripeness on the nose. The just off-dry palate follows with fluid, gentle richness and a phenolic, textured midpalate. The freshness of the acidity highlights the nuance between very ripe and dried yellow plums. A subtle wine but with a core of subdued richness.",90,45.0,Alsace,Alsace,Anne Krebiehl MW,2014,23.0,Pfersigberg Grand Cru,Kuentz-Bas
France,"Still very closed up, this is a potentially rich wine with huge fruit flavors. It's sweet while still structured, with a dry core of spice and minerality. The future for this wine is good. Its richness will develop while always keeping structure. Drink from 2018.",91,59.0,Alsace,Alsace,Roger Voss,2013,23.0,Pfersigberg Grand Cru,Kuentz-Bas
France,"A delicate, crisp, very pure wine. It has perfumes of white flowers, which continue with the addition of ripe pear and lime. Crisp at the end, for drinking now, but also keep until 2017.",88,17.0,Alsace,Alsace,Roger Voss,2011,7.0,Tradition,Kuentz-Bas
France,"Earth and lemons dominate the nose. The earthy mellowness is more pronounced. on the palate, joined by 2014 fresh lemon. The finish is dry but remains earthy.",87,17.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Tradition,Kuentz-Bas
France,"The nose does not give much away but the dry palate is all about bright, luminous lemon zest and tart lemon juice. Have this on a hot summer day for ultimate refreshment.",87,17.0,Alsace,Alsace,Anne Krebiehl MW,2013,7.0,Tradition,Kuentz-Bas
France,"Gentle spice and redcurrant notes promise a subtle wine. The palate does not disappoint and sings with translucent, light-footed elegance. This is all about charm and ease, about chiffon rather than velvet. Crisp freshness brightens and lightens everything. It's a mere whiff of a wine but a delicious one.",90,20.0,Alsace,Alsace,Anne Krebiehl MW,2014,1.0,Tradition,Kuentz-Bas
France,"Very ripe pear fruit is dangerously close to tipping over into cloying richness, almost hinting at cream soda. The palate is less overwhelming. As always, that special streak of Alsace acid saves the day.",88,19.0,Alsace,Alsace,Anne Krebiehl MW,2014,18.0,Tradition,Kuentz-Bas
France,"Very ripe notes of yellow pear appear on the nose. A touch of earthiness adds texture and interest to the palate, as does the merest smidgen of residual sweetness, boosting the fruit flavors. A zesty freshness pulls all into focus. The finish is dry and lasting.",90,19.0,Alsace,Alsace,Anne Krebiehl MW,2015,18.0,Tradition,Kuentz-Bas
France,"Plump, juicy pear is cut beautifully by lemon freshness that also carries zest and spice, brightening the entire palate. The finish is dry and textured with the zing of the zest.",89,19.0,Alsace,Alsace,Anne Krebiehl MW,2013,18.0,Tradition,Kuentz-Bas
France,"Zestiness amid the rounded apricot and rose-petal flavors marks this out, while a pleasant, ever-so-slightly bitter phenolic edge gives just a little bite. The aromatics are subtly expressed and the real action happens on the textured palate.",90,19.0,Alsace,Alsace,Anne Krebiehl MW,2014,23.0,Tradition,Kuentz-Bas
France,"This fresh and fruity wine is soft with gentle spice. It has a crisp side as well, making for an easy, ready-to-drink wine that is well balanced.",85,26.0,Alsace,Alsace,Roger Voss,2013,23.0,Tradition,Kuentz-Bas
France,"Softly fruity wine, with a touch of toast, ripe pear and melon flavors. The wine is warm, approachable, fruity, ready to drink.",85,17.0,Alsace,Alsace,Roger Voss,2009,38.0,Tradition,Kuentz-Bas
France,"Ripe yellow apple and yellow plum notes make for an appetizing nose. The palate is equally fresh and full fruited, sporting sassy, defining freshness that makes it mouthwatering and appetizing.",89,17.0,Alsace,Alsace,Anne Krebiehl MW,2013,38.0,Tradition,Kuentz-Bas
France,The nose is subdued while the palate shows some apple and yellow-plum fruit. This is simple and fresh but shows a bitter edge and some dilution.,80,17.0,Alsace,Alsace,Anne Krebiehl MW,2014,38.0,Tradition,Kuentz-Bas
France,"The mellowness of baked apple envelops all other aromas. While the baked apple is also apparent on the palate, it is pulled into sharp focus by fresh, lively and bright lemon acidity.",88,21.0,Alsace,Alsace,Anne Krebiehl MW,2014,7.0,Collection,Kuentz-Bas
France,"Very ripe aspects inform the nose: ripe honeyed peach and pear dominate. The palate, on the other hand, is a picture of citric slenderness and steely concentration of freshness. Its absolute dryness highlights the brisk, clean and lemon-driven style perfectly. This is wonderfully bracing and cleansing and so very refreshing. Lovely now but sure to develope. Drink now through 2025.",93,21.0,Alsace,Alsace,Anne Krebiehl MW,2015,7.0,Collection,Kuentz-Bas
France,"This small merchant house is best known for its great Vendanges Tardives. But at the simpler level, this Riesling Collection is dry and fresh, with a great floral character, deceptively light acidity and a subtly spicy aftertaste.",86,20.0,Alsace,Alsace,Roger Voss,2000,7.0,Collection,Kuentz-Bas
France,"This deep and rich wine is as much about tense structure as about fruit. It's a full-blown, very ripe wine that hasn't lost one iota of elegance. From selected fruit, this is a serious wine for aging. Drink from 2017.",91,24.0,Alsace,Alsace,Roger Voss,2012,7.0,Collection,Kuentz-Bas
France,"Earthy lemon and tart flavors of freshly cut green apples play on nose and palate. With time on the palate, the lemony freshness dominates and lingers texturally, with a suggestion of apple peel. This has lots of freshness and a dry finish.",88,21.0,Alsace,Alsace,Anne Krebiehl MW,2013,7.0,Collection,Kuentz-Bas
France,"Soft notes of earth and gentle red fruit appear on the nose. The palate is very soft, smooth and centers on autumnal earthiness rather than fruit. Its pleasing backbone of freshness gives direction to the softness.",86,29.0,Alsace,Alsace,Anne Krebiehl MW,2013,1.0,Collection,Kuentz-Bas
France,Fresh notes of green Conference pear are edged with citrus freshness. The palate shows the same restrained fruit and has a lovely bitter edge that lends texture and shape. Freshness pervades. The finish is just about still dry.,89,19.0,Alsace,Alsace,Anne Krebiehl MW,2015,18.0,Collection,Kuentz-Bas
France,"Rather closed on the nose, this shows plump, sweet pear fruit countered by sprightly, spiky, lemony acidity. This is lively and fruity and easy to drink; enjoy while flavors are at their peak.",88,25.0,Alsace,Alsace,Anne Krebiehl MW,2013,18.0,Collection,Kuentz-Bas
France,"Wonderfully apple-scented, just like a freshly cut Cox Orange Pippin, this is dry Pinot Gris with extra verve from the 2014 vintage. Drink soon while its aromas are at their delicious peak.",89,25.0,Alsace,Alsace,Anne Krebiehl MW,2014,18.0,Collection,Kuentz-Bas
France,"This is a rich, full-bodied, medium-sweet wine full of generous fruits and ripe spice. There's no need to wait to drink this lively wine with its light touch of acidity at the end.",87,32.0,Alsace,Alsace,Roger Voss,2013,23.0,Collection,Kuentz-Bas
France,"Apricot, damask rose and earth frame this vivacious Gewurztraminer that benefits from 2014's verve. The palate comes with some of the characteristic viscosity but the zest of orange and lemon peel balances this out beautifully, creating a lovely, refreshing arc.",91,25.0,Alsace,Alsace,Anne Krebiehl MW,2014,23.0,Collection,Kuentz-Bas
France,"A medium-sweet style of Gewurztraminer this is is soft, spicy and rounded with tropical fruits and lychees. The aftertaste continues the smooth character of the wine, easy to drink and ready now.",85,32.0,Alsace,Alsace,Roger Voss,2012,23.0,Collection,Kuentz-Bas
France,"Incredibly pure notes of freshly cut Cox's Orange Pippin assail the nose. The palate has the same purity and a linear, taut, rich but toned body that is yet to reveal all of its secrets. The purity and luminoisty of the fruit is astonishing. We have not seen the best of this yet. For now the purest apple fruit delights. This is deliciously concentrated and very youthful. Drink 2016–2030.",94,40.0,Alsace,Alsace,Anne Krebiehl MW,2012,7.0,Pfersigberg Grand Cru,Martin Schaetzel
